LA Net Migration
inflow_2014_15_outflow_2014_15
+--------+--------+-------------------------------+---------+---------+
| county | stname |             coname            | returns | exempts |
| 41039  |   OR   |          Lane County          |   -59   |   -120  |
| 48027  |   TX   |          Bell County          |   -47   |   -121  |
| 06083  |   CA   |      Santa Barbara County     |    -7   |   -123  |
| 53035  |   WA   |         Kitsap County         |   -84   |   -124  |
| 06041  |   CA   |          Marin County         |   -38   |   -133  |
| 06097  |   CA   |         Sonoma County         |   -64   |   -150  |
| 16001  |   ID   |           Ada County          |   -79   |   -150  |
| 40109  |   OK   |        Oklahoma County        |   -57   |   -156  |
| 08005  |   CO   |        Arapahoe County        |   -72   |   -161  |
| 04025  |   AZ   |         Yavapai County        |   -72   |   -162  |
| 06013  |   CA   |      Contra Costa County      |   -40   |   -164  |
| 48121  |   TX   |         Denton County         |   -65   |   -166  |
| 41005  |   OR   |        Clackamas County       |   -76   |   -168  |
| 53011  |   WA   |          Clark County         |   -70   |   -171  |
| 12057  |   FL   |      Hillsborough County      |   -28   |   -175  |
| 53053  |   WA   |         Pierce County         |   -96   |   -207  |
| 32031  |   NV   |         Washoe County         |   -93   |   -224  |
| 41067  |   OR   |       Washington County       |   -106  |   -226  |
| 49035  |   UT   |        Salt Lake County       |   -84   |   -226  |
| 48491  |   TX   |       Williamson County       |   -110  |   -236  |
| 04015  |   AZ   |         Mohave County         |   -134  |   -241  |
| 48085  |   TX   |         Collin County         |   -77   |   -257  |
| 06079  |   CA   |     San Luis Obispo County    |   -141  |   -264  |
| 48029  |   TX   |          Bexar County         |   -113  |   -265  |
| 06107  |   CA   |         Tulare County         |   -72   |   -311  |
| 48439  |   TX   |         Tarrant County        |   -124  |   -352  |
| 48113  |   TX   |         Dallas County         |   -137  |   -365  |
| 41051  |   OR   |        Multnomah County       |   -271  |   -400  |
| 06001  |   CA   |         Alameda County        |   -228  |   -402  |
| 53033  |   WA   |          King County          |   -216  |   -438  |
| 06067  |   CA   |       Sacramento County       |   -131  |   -458  |
| 06085  |   CA   |       Santa Clara County      |   -231  |   -555  |
| 48201  |   TX   |         Harris County         |   -319  |   -780  |
| 59000  |   DS   | Other flows - Different State |   237   |   -822  |
| 06029  |   CA   |          Kern County          |   -452  |  -1141  |
| 04013  |   AZ   |        Maricopa County        |   -403  |  -1235  |
| 57001  |   FR   |       Foreign - Overseas      |   -954  |  -1513  |
| 06073  |   CA   |        San Diego County       |   -682  |  -1595  |
| 06111  |   CA   |         Ventura County        |   -702  |  -1727  |
| 06059  |   CA   |         Orange County         |  -1912  |  -4827  |
| 32003  |   NV   |          Clark County         |  -2300  |  -4970  |
| 06065  |   CA   |        Riverside County       |  -2031  |  -5518  |
| 06071  |   CA   |     San Bernardino County     |  -4156  |  -11047 |
+--------+--------+-------------------------------+---------+---------+
